Section,Specific_Industry,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
D,Electricity production - oil,"13,320.8","9,113.9","8,779.5","8,898.5","6,557.5","6,024.4","5,265.1","1,280.1",718.3,"1,074.5","1,026.7","1,353.2",866.1,818.0,628.3,"1,139.3","1,431.3",608.4,"1,106.8",604.1,270.9,156.8,168.1,143.9,157.3,139.0,137.5,128.5,122.3,125.1,138.7
D,Electricity production - other,746.6,776.6,965.0,"1,207.1","1,679.3","1,810.7","1,908.4","2,347.7","3,154.6","3,581.1","4,058.0","4,608.4","4,825.9","5,223.2","5,729.1","5,882.0","6,123.7","6,512.5","7,245.3","8,084.5","8,391.4","8,395.3","9,062.7","9,049.5","10,033.4","11,933.3","13,653.5","13,680.1","15,037.7","17,109.3","16,973.4"
D,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,"11,414.7","11,479.4","11,511.5","11,352.3","10,920.2","11,371.8","11,419.7","10,428.4","11,066.3","11,148.1","12,112.9","11,821.1","11,251.3","10,865.3","10,460.6","10,553.3","9,620.0","9,094.9","8,900.0","8,538.9","8,774.0","8,182.6","7,526.2","7,392.7","7,268.4","7,188.7","7,196.9","6,965.3","6,721.7","6,870.4","6,333.6"
E,Natural water; water treatment and supply services,387.5,498.8,454.7,430.3,436.0,424.9,616.5,474.5,879.4,844.5,"1,098.8","1,389.3",892.2,729.8,996.3,"1,078.3","1,029.6",952.2,792.0,795.3,865.3,783.1,780.2,792.7,765.2,774.3,889.3,883.5,899.3,845.0,904.8
E,Sewerage services; sewage sludge,"3,258.5","3,260.3","3,369.2","3,354.1","3,368.9","3,272.1","3,306.0","3,498.6","3,441.0","3,440.3","3,383.4","2,466.7","2,548.2","2,658.4","2,670.9","2,697.0","2,969.2","3,038.4","2,897.3","2,839.4","2,836.0","2,857.9","2,788.7","2,765.8","2,858.2","2,795.2","2,691.1","2,876.2","2,784.7","2,851.1","2,814.4"
E,"Waste collection, treatment and disposal services; materials recovery services","64,051.8","65,438.4","65,574.9","65,827.3","66,042.8","67,067.2","67,377.7","66,201.0","66,882.0","62,547.8","60,212.7","58,789.5","57,781.7","54,056.4","49,692.3","47,553.2","44,254.3","41,224.0","36,569.4","32,822.1","28,555.7","26,800.9","25,754.4","23,303.3","21,564.1","21,481.4","21,488.2","22,267.4","22,487.7","22,308.1","21,132.8"
E,Remediation services and other waste management services,3.3,3.2,3.2,3.4,3.5,3.7,3.8,3.7,3.8,4.0,4.2,4.3,4.3,4.6,4.9,5.1,5.3,5.7,6.1,5.2,5.5,5.3,6.0,5.3,5.3,5.6,5.7,5.8,5.4,5.1,5.1
F,Buildings and building construction works,"1,930.1","1,947.0","1,960.3","2,003.0","2,087.4","2,130.7","2,200.3","2,235.9","2,282.0","2,354.3","2,395.1","2,422.5","2,422.4","2,511.2","2,605.7","2,602.6","2,599.7","2,655.6","2,610.8","2,278.9","2,320.0","2,155.4","2,280.3","2,117.9","2,143.8","2,265.0","2,326.7","2,398.6","2,412.2","2,300.9","1,949.4"
F,Constructions and construction works for civil engineering,"4,964.5","4,863.9","4,898.2","4,917.2","5,117.9","5,110.7","5,163.5","5,249.4","5,345.9","5,347.7","5,401.6","5,590.5","5,653.1","5,645.3","5,908.4","5,809.4","5,933.8","6,005.1","6,280.6","5,307.5","5,172.3","4,784.3","5,190.5","4,581.2","4,853.4","5,553.6","5,634.5","6,010.0","6,204.0","5,801.6","5,251.0"
F,Specialised construction works,"2,546.9","2,598.6","2,646.9","2,702.7","2,842.2","2,915.2","3,066.4","3,196.2","3,310.9","3,496.4","3,603.5","3,705.5","3,721.2","3,888.5","4,098.7","4,256.2","4,381.6","4,633.2","4,604.5","4,321.7","4,495.4","4,413.0","4,492.4","4,444.9","4,580.7","4,748.3","5,036.7","5,064.6","5,052.5","4,933.8","4,414.2"
G,Wholesale and retail trade and repair services of motor vehicles and motorcycles,"2,105.0","2,194.8","2,146.5","2,178.8","2,227.1","2,246.8","2,262.9","2,203.6","2,218.1","2,285.2","2,303.4","2,231.7","2,124.9","2,178.3","2,162.8","2,191.7","2,176.1","2,305.5","2,308.1","2,114.3","2,141.3","2,075.9","2,083.5","2,022.6","2,015.9","2,046.0","2,125.8","2,062.1","1,989.8","1,969.6","1,630.8"
G,"Wholesale trade services, except of motor vehicles and motorcycles","6,135.8","6,255.8","6,189.0","6,256.6","6,459.5","6,530.4","6,613.4","6,531.7","6,630.6","6,791.1","6,827.9","6,626.8","6,431.3","6,558.8","6,560.0","6,600.4","6,677.8","6,952.9","7,184.4","7,502.4","7,876.5","7,585.3","7,595.5","7,326.7","7,353.1","7,464.1","7,706.1","7,647.7","7,503.8","7,215.2","6,299.6"
G,"Retail trade services, except of motor vehicles and motorcycles","3,483.7","3,663.0","3,597.5","3,744.1","3,876.2","3,968.1","4,194.1","4,231.5","4,526.7","4,844.4","5,082.3","5,234.9","5,259.6","5,638.7","5,877.8","6,082.3","6,278.2","6,524.0","6,951.0","7,042.2","7,156.7","7,225.7","7,514.1","7,496.5","7,303.5","7,291.3","7,221.9","6,897.8","6,587.0","6,458.1","5,870.4"
H,Rail transport,"1,781.5","1,822.2","1,843.4","1,795.2","1,750.0","1,839.0","1,941.8","2,022.6","2,140.5","2,084.5","2,107.0","2,176.8","2,152.3","2,188.5","2,281.6","2,307.6","2,351.6","2,457.8","2,432.7","2,369.8","2,400.2","2,298.5","2,354.5","2,357.6","2,401.8","2,354.8","2,343.1","2,321.6","2,221.4","2,283.4","1,834.8"
H,"Buses, coaches, trams and similar public urban transport n.e.c","5,794.7","5,929.1","5,886.1","5,912.7","6,042.3","6,162.7","6,270.1","6,324.1","6,222.1","6,096.9","5,774.6","5,717.1","5,721.4","5,823.9","5,624.6","5,622.5","5,753.5","5,858.5","5,371.6","5,304.9","5,446.4","5,044.8","4,810.7","4,873.1","4,875.4","4,697.0","4,516.3","4,307.2","4,193.5","4,020.4","2,914.3"
H,"Underground, metro other non interurban rail services",479.5,461.7,472.6,484.4,512.0,529.2,563.4,542.2,554.3,548.6,479.2,483.5,386.8,45.0,31.9,25.2,22.1,21.3,19.7,16.4,16.6,14.6,15.5,13.1,13.3,12.9,13.6,13.4,13.3,12.4,10.3
H,Taxis and other renting of private cars with driver,"1,576.8","1,692.0","1,799.1","1,835.3","1,887.8","1,903.7","1,982.2","2,057.9","2,130.8","2,187.5","2,251.3","2,280.9","2,329.4","2,359.9","2,386.6","2,447.0","2,524.4","2,631.0","2,746.7","2,838.3","2,897.2","2,906.8","2,872.4","2,848.3","2,970.4","3,074.6","3,297.2","3,521.2","3,615.0","3,715.2","3,781.8"
H,Freight transport by road and removal services,"13,637.7","13,171.7","13,174.4","13,635.1","14,227.3","14,117.8","14,647.2","15,100.3","15,027.2","14,826.2","14,583.0","14,347.2","14,531.3","14,556.9","14,723.9","14,606.1","14,625.2","14,821.2","13,708.0","11,793.4","12,048.8","11,699.4","11,500.4","11,482.0","11,722.4","12,068.5","12,417.4","12,510.1","12,601.1","12,358.7","11,787.2"
H,Transport via pipeline,237.1,237.0,236.9,237.2,237.5,237.6,237.5,217.9,217.8,217.9,219.1,215.2,217.6,217.6,218.1,210.6,203.0,195.8,188.3,179.8,172.6,165.1,99.0,96.4,87.9,89.7,107.0,113.9,93.1,86.1,83.3
H,Water transport services,"19,522.3","21,256.6","20,561.7","19,559.1","19,810.1","20,596.3","23,612.8","30,557.5","32,632.8","28,508.4","28,169.0","32,938.6","30,243.9","29,079.6","28,860.1","27,315.2","17,411.5","20,467.8","18,185.4","15,598.9","16,359.6","18,762.3","16,716.8","13,984.4","18,401.1","19,560.9","21,917.5","12,796.6","15,338.8","17,232.5","13,872.2"
H,Air transport services,"20,428.1","19,368.0","21,113.0","22,922.0","22,906.3","24,821.7","26,613.4","28,210.0","31,575.9","34,038.3","37,557.6","36,924.3","36,089.9","37,339.3","39,563.9","42,936.9","43,638.0","44,161.6","43,713.8","41,537.5","40,418.1","42,450.1","40,970.4","40,712.5","40,709.1","41,151.5","40,832.1","43,470.9","45,655.3","42,591.3","16,812.2"
H,Warehousing and support services for transportation,"1,395.2","1,418.4","1,342.0","1,387.1","1,347.7","1,345.5","1,339.6","1,236.5","1,236.1","1,280.3","1,328.8","1,257.2","1,219.0","1,268.8","1,337.5","1,433.9","1,563.4","1,603.1","1,660.6","1,536.5","1,528.2","1,593.3","1,649.4","1,674.2","1,728.2","1,731.3","1,794.2","1,812.9","1,790.8","1,752.1","1,601.9"
H,Postal and courier services,"1,145.0","1,172.5","1,170.4","1,194.5","1,238.0","1,243.5","1,271.7","1,277.2","1,292.6","1,303.5","1,297.4","1,266.3","1,243.5","1,264.9","1,261.4","1,359.6","1,278.4","1,312.1","1,493.4","1,423.8","1,608.5","1,559.4","1,557.4","1,560.6","1,584.2","1,638.1","1,709.1","1,715.3","1,719.6","1,696.4","1,566.0"
I,Accommodation services,892.9,"1,037.9",955.6,"1,021.7","1,014.7","1,048.8","1,110.8",985.7,"1,059.2","1,114.9","1,130.6","1,132.2",966.3,"1,028.5",996.3,986.2,908.5,872.5,"1,065.6",863.7,924.4,823.0,928.6,949.6,829.4,910.6,935.0,926.3,916.6,934.5,747.9
I,Food and beverage serving services,"2,075.8","2,364.0","2,169.0","2,308.1","2,302.8","2,373.2","2,496.5","2,234.4","2,398.7","2,521.4","2,580.9","2,613.2","2,265.7","2,440.3","2,413.2","2,469.3","2,336.4","2,324.4","2,861.5","2,408.4","2,594.2","2,374.3","2,657.8","2,720.0","2,435.1","2,698.1","2,765.9","2,744.8","2,704.3","2,728.8","2,424.7"
J,Publishing services,161.4,184.3,169.6,177.8,175.1,177.7,185.7,163.9,170.9,174.7,170.1,164.3,137.2,138.5,127.6,119.0,105.2,95.7,103.0,82.0,80.7,69.7,72.4,68.4,60.7,61.2,60.7,57.9,56.0,55.6,46.4
J,"Motion picture, video and television programme production services, sound recording and music publishing",101.8,117.1,111.2,119.5,121.9,128.3,136.9,126.2,136.2,147.5,152.7,154.9,138.7,149.4,148.3,149.8,142.8,143.1,168.6,141.3,149.6,140.6,151.0,146.6,135.3,139.5,143.1,136.1,128.8,130.2,125.8
J,Programming and broadcasting services,22.1,25.0,23.7,25.3,25.7,26.8,28.1,25.6,27.1,28.7,29.0,28.7,24.9,25.7,24.4,23.3,21.0,19.8,21.6,16.7,16.8,15.0,16.2,15.5,13.8,13.7,14.0,13.0,12.5,12.2,11.1
J,Telecommunications services,524.0,539.4,530.5,542.1,562.6,572.6,556.3,536.5,530.1,542.3,534.8,490.8,451.1,441.4,419.9,419.9,394.9,395.7,417.9,368.7,380.0,366.0,362.8,340.9,330.9,331.5,338.4,319.7,300.2,298.9,239.5
J,"Computer programming, consultancy and related services",268.6,287.6,287.3,305.3,325.8,343.4,348.7,343.0,357.5,381.2,393.4,384.8,359.8,371.7,368.4,372.8,364.2,369.4,393.8,339.3,345.8,333.8,338.2,323.3,311.4,311.7,322.0,309.2,292.2,291.9,254.0
J,Information services,25.8,28.0,27.4,29.9,29.6,29.9,31.7,29.2,31.0,32.7,33.7,34.4,30.4,32.4,32.3,33.1,32.4,32.4,37.9,31.4,33.4,30.7,33.6,33.3,30.7,32.0,31.7,31.1,30.3,30.4,26.9
K,"Financial services, except insurance and pension funding",144.6,153.0,136.7,142.3,133.2,130.0,127.0,103.6,101.7,102.1,98.0,103.1,86.3,91.9,90.1,91.1,88.1,88.5,100.0,85.7,88.3,84.9,88.7,88.8,82.0,80.3,79.1,75.6,72.9,72.0,63.2
K,Insurance & Reinsurance,26.6,30.5,29.0,30.8,31.4,32.8,34.2,31.6,33.6,35.8,36.6,36.4,33.2,35.8,34.7,34.1,32.7,32.5,36.8,30.4,32.5,30.3,32.6,32.4,29.2,30.2,30.9,29.4,29.6,29.8,28.0
K,Pension funding,0.3,0.4,0.4,0.4,0.6,0.9,1.2,1.4,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.6
K,Services auxiliary to financial services and insurance services,161.4,181.0,174.2,183.4,188.5,196.2,201.7,188.1,197.0,208.7,211.6,204.5,182.7,190.2,184.2,178.2,167.1,168.8,191.9,163.2,171.1,162.0,174.7,169.7,156.6,160.5,165.6,159.5,151.5,154.3,138.3
L,"Buying and selling of own real estate: renting and operating of own or leased real estate, excluding imputed rent",423.3,490.3,465.7,497.6,508.6,533.2,566.8,523.9,568.9,612.5,630.9,636.2,568.8,618.0,615.8,626.5,602.4,596.4,732.3,618.6,667.6,610.1,684.8,700.2,624.9,664.7,685.6,672.4,660.5,672.2,645.8
L,Real estate activities on a fee or contract basis,216.4,226.4,222.1,229.2,237.1,243.2,241.6,233.1,236.7,249.1,254.3,245.7,228.4,239.2,240.7,249.7,248.4,257.5,299.1,261.7,281.2,268.1,294.6,293.3,273.3,288.1,298.1,291.4,284.2,289.2,244.0
M,Legal activities,280.6,301.3,289.0,300.9,305.8,312.6,308.3,284.0,286.0,295.5,292.2,274.6,237.7,237.5,223.2,216.0,199.2,192.6,211.3,171.6,176.2,162.4,169.8,165.2,148.4,151.4,155.0,148.5,142.7,144.2,137.1
M,"Accounting, bookkeeping and auditing activities: tax consultancy",260.8,283.6,271.6,283.8,287.3,293.7,294.9,270.4,276.8,287.4,284.9,267.6,230.6,230.1,214.8,205.6,186.5,177.6,192.6,155.8,155.8,143.4,147.5,142.4,127.9,132.4,131.6,126.9,121.4,120.8,116.0
M,Services of head offices; management consulting services,598.4,664.1,636.1,668.9,684.1,708.0,719.6,669.0,696.2,735.3,744.5,717.1,638.8,664.5,651.2,658.0,634.8,641.6,760.1,643.5,688.2,647.8,704.5,698.0,643.8,667.0,685.9,657.3,626.3,632.1,537.5
M,Architectural and engineering services; technical testing and analysis services,535.6,569.4,553.4,575.2,588.6,603.8,601.1,567.9,576.6,603.8,609.0,579.9,525.1,532.1,518.7,512.4,496.1,497.3,543.9,448.5,460.5,431.9,453.0,421.9,402.7,412.2,419.7,398.2,380.0,377.0,297.9
M,Scientific research and development services,471.7,509.9,492.6,293.7,293.9,302.3,317.8,287.7,304.4,318.5,318.4,312.0,270.3,281.2,269.5,257.9,236.7,227.4,267.3,220.1,234.8,210.1,233.5,239.8,215.1,232.4,241.8,242.8,242.6,248.6,228.1
M,Advertising and market research services,133.6,141.2,139.1,145.2,152.4,158.5,156.8,150.3,151.8,159.2,161.2,151.9,137.3,137.1,131.8,130.3,124.5,125.0,132.2,111.7,113.9,111.6,113.4,105.2,101.2,101.8,104.5,96.7,88.4,89.4,55.7
M,"Other professional, scientific and technical services",159.2,174.1,169.2,178.6,187.5,197.3,200.4,190.0,196.5,209.2,213.9,208.1,187.9,194.7,190.2,190.6,184.1,183.6,208.5,172.1,178.1,170.1,177.1,167.3,157.8,157.8,164.2,151.4,141.9,141.9,109.9
M,Veterinary services,59.1,63.2,61.6,64.1,66.1,68.8,69.4,66.7,69.3,72.0,72.1,69.4,63.8,65.7,64.6,66.2,63.6,65.3,69.0,62.2,64.5,62.5,65.6,65.5,63.5,66.5,69.0,69.4,68.9,69.4,61.9
N,Rental and leasing services,"1,012.0","1,032.5","1,034.5","1,049.7","1,090.4","1,099.0","1,120.2","1,128.7","1,141.8","1,155.4","1,157.4","1,131.1","1,109.9","1,128.2","1,128.3","1,214.1","1,244.3","1,264.3","1,207.1","1,088.8","1,077.7","1,046.2","1,051.9","1,031.3","1,050.4","1,083.9","1,130.9","1,126.9","1,120.0","1,098.6",978.0
N,Employment services,303.1,314.5,303.5,313.8,325.2,331.5,327.1,305.9,300.0,301.4,294.0,278.5,243.8,241.2,231.2,228.5,216.9,215.4,231.9,196.7,202.2,194.4,205.4,202.2,194.9,196.9,201.2,200.4,190.6,187.7,168.1
N,"Travel agency, tour operator and other reservation services and related services",124.4,130.9,126.6,130.3,133.5,135.7,135.8,129.7,131.3,135.3,136.1,131.6,122.2,125.9,125.7,128.7,128.6,135.0,145.7,132.0,138.4,140.0,144.8,137.7,138.1,140.6,148.6,142.3,136.1,139.5,92.6
N,Security and investigation services,168.9,180.9,180.0,188.8,196.2,201.3,207.1,203.3,208.8,215.8,217.9,213.8,202.5,207.6,204.5,203.4,198.8,196.7,203.1,175.4,177.2,168.5,167.8,161.3,156.3,157.2,162.0,156.5,152.4,150.6,128.9
N,Services to buildings and landscape,704.1,765.2,741.3,775.4,781.9,796.7,823.1,779.0,808.9,838.7,848.2,841.6,781.6,816.6,811.6,821.0,812.0,822.2,917.4,823.4,870.5,844.2,889.9,888.4,865.0,895.1,927.3,913.7,901.6,904.1,833.9
N,"Office administrative, office support and other business support services",369.0,399.9,395.0,414.8,438.0,457.7,475.6,468.3,491.2,520.5,538.6,542.6,517.8,554.2,565.1,586.8,588.9,607.9,691.6,604.7,648.9,626.2,669.2,672.1,647.9,681.5,714.8,706.5,694.1,705.7,619.9
O,Public administration; compulsory social security services,"4,838.8","5,107.2","5,399.8","5,563.4","5,112.9","5,239.2","5,240.9","4,972.5","5,184.9","5,424.3","5,384.5","5,570.0","5,176.6","5,430.9","5,724.7","4,708.3","4,310.7","4,038.0","3,990.1","3,619.4","3,651.5","3,255.7","3,425.1","3,128.4","2,807.6","2,827.4","2,838.7","2,777.3","2,784.6","2,712.5","2,428.0"
O,Public defence services,"6,015.9","5,067.5","4,903.4","4,949.2","4,763.3","4,750.0","4,618.9","4,486.6","3,901.7","3,829.6","3,732.5","3,510.4","3,560.6","3,657.5","3,515.3","3,220.6","3,796.7","4,063.9","3,575.8","3,232.7","3,171.3","2,985.2","2,747.1","2,493.6","2,190.6","1,819.6","1,705.0","1,745.5","1,768.0","1,881.9","1,537.3"
P,Education services,"5,480.6","5,809.0","5,921.0","5,030.7","4,503.7","4,205.3","5,354.1","5,977.1","5,233.3","4,927.0","4,592.2","4,257.9","3,660.6","3,699.9","3,691.3","3,649.0","3,879.3","3,546.9","3,363.6","3,161.7","3,385.6","2,790.3","3,095.9","3,024.8","2,622.4","2,841.6","2,789.1","2,844.6","2,688.8","2,574.8","2,371.9"
Q,Human health services,"4,346.6","4,552.3","4,750.8","4,637.5","4,730.9","4,723.0","5,010.9","3,843.3","4,067.6","3,815.1","3,500.1","3,729.5","3,230.8","3,061.1","3,615.1","4,283.1","3,479.2","3,513.2","4,014.5","4,039.0","4,349.5","3,929.7","4,234.0","4,633.1","4,201.6","3,969.1","4,106.6","3,854.3","3,908.1","3,862.4","3,654.6"
Q,Residential care services,893.6,958.7,"1,061.6",974.9,956.3,868.9,997.1,"1,098.8","1,035.2",914.1,747.9,792.0,494.5,385.4,408.8,575.5,534.2,528.8,538.7,476.5,505.5,470.5,586.4,621.8,541.3,618.2,651.5,668.7,728.3,617.5,567.2
Q,Social work services without accommodation,503.5,557.2,603.2,487.4,487.4,498.6,612.3,863.8,808.5,736.8,622.4,683.4,489.7,399.5,444.7,628.9,613.9,591.9,591.4,576.4,580.3,519.6,669.3,720.7,617.3,719.2,758.0,779.0,848.4,719.6,660.4
R,"Creative, arts and entertainment services",250.6,264.7,235.5,256.5,262.1,260.1,270.8,238.2,251.2,230.7,226.1,291.2,228.8,223.9,219.8,228.4,165.9,153.9,170.4,155.0,139.9,129.1,130.5,125.8,117.8,112.6,115.2,109.9,105.4,106.3,76.9
R,"Library, archive, museum and other cultural services",166.4,172.4,151.1,155.6,144.4,137.6,137.2,121.7,115.5,104.2,102.0,97.6,80.1,78.7,75.6,87.9,61.8,56.4,60.2,50.3,49.8,44.0,46.1,45.3,41.8,40.1,41.4,40.3,40.0,40.3,33.0
R,Gambling and betting services,247.6,265.6,240.4,249.9,238.1,232.2,235.0,211.9,215.1,210.6,211.4,201.0,166.2,165.5,154.6,160.2,125.9,115.6,123.8,98.6,97.9,86.1,89.2,86.7,77.5,76.4,77.4,75.0,72.8,72.8,63.3
R,Sporting services and amusement and recreation services,976.7,"1,057.6",972.1,"1,020.1","1,001.3","1,003.2","1,048.0",957.0,991.3,"1,000.7","1,017.3","1,004.8",885.1,917.3,898.3,943.9,822.8,791.6,889.3,768.4,786.2,721.1,774.9,778.0,719.2,759.9,779.0,776.3,768.0,773.1,704.4
S,Services furnished by membership organisations,465.2,512.2,478.2,509.5,493.7,501.5,527.5,465.6,485.3,478.7,494.7,471.4,390.0,396.1,372.0,391.2,313.4,293.4,346.4,278.9,292.3,257.2,283.9,289.1,252.1,284.7,283.9,280.2,282.0,279.9,274.0
S,Repair services of computers and personal and household goods,91.9,93.0,90.9,93.0,96.6,97.8,98.6,96.9,96.3,97.6,96.7,91.8,86.7,85.7,82.8,79.7,76.9,74.4,73.5,75.5,69.3,66.2,65.5,64.4,63.8,65.8,68.6,67.2,67.8,68.2,53.6
S,Other personal services,563.9,614.8,591.6,614.9,627.9,644.6,669.7,628.9,658.7,687.3,694.7,689.0,629.1,661.6,651.0,665.2,688.8,627.2,742.7,634.1,631.8,586.1,624.4,628.0,583.9,611.0,632.4,622.1,609.1,614.5,524.2
T,Services of households as employers of domestic personnel,45.3,45.6,46.6,47.7,50.2,51.8,50.5,51.0,49.0,50.5,60.7,54.2,43.6,36.2,37.8,43.6,38.9,33.2,32.4,25.7,33.7,33.5,32.5,29.3,32.4,29.1,35.7,31.2,31.2,34.0,23.2
U,Consumer expenditure - not travel,"81,863.7","90,751.8","88,135.4","92,451.5","88,252.7","83,805.7","95,430.3","88,500.9","90,811.0","90,920.0","91,317.9","93,759.0","90,452.4","91,076.9","92,816.9","88,619.3","86,237.9","82,234.3","83,525.6","80,247.2","90,192.8","72,521.9","79,268.1","80,533.0","67,770.1","70,749.6","72,328.3","70,301.2","72,928.3","70,245.6","70,939.1"
U,Consumer expenditure - travel,"60,427.1","60,049.6","61,025.0","61,468.5","60,640.4","59,791.2","63,343.9","64,323.2","64,152.2","65,228.5","65,040.3","66,226.0","68,609.5","68,024.9","69,030.0","69,509.2","69,526.0","69,997.2","68,525.8","67,695.8","66,155.6","65,433.8","65,949.7","66,594.2","67,094.1","68,017.4","68,883.8","69,713.8","69,927.8","69,599.9","53,827.8"
,Total greenhouse gas emissions,"833,354.6","842,950.1","823,413.4","805,464.7","795,850.0","791,630.7","818,061.3","802,321.4","807,210.1","775,311.6","778,470.0","786,023.2","761,414.9","769,198.0","768,757.0","763,847.3","748,397.6","740,014.3","718,664.6","659,657.4","676,190.7","636,377.6","650,028.2","637,271.5","606,135.1","595,689.2","574,539.0","559,062.3","560,295.1","546,779.9","478,309.5"
